movie_id,genre
19995,Action
19995,Adventure
19995,Fantasy
19995,Science Fiction
285,Adventure
285,Fantasy
285,Action
206647,Action
206647,Adventure
206647,Crime
49026,Action
49026,Crime
49026,Drama
49026,Thriller
49529,Action
49529,Adventure
49529,Science Fiction
559,Fantasy
559,Action
559,Adventure
38757,Animation
38757,Family
99861,Action
99861,Adventure
99861,Science Fiction
767,Adventure
767,Fantasy
767,Family
209112,Action
209112,Adventure
209112,Fantasy
1452,Adventure
1452,Fantasy
1452,Action
1452,Science Fiction
10764,Adventure
10764,Action
10764,Thriller
10764,Crime
58,Adventure
58,Fantasy
58,Action
57201,Action
57201,Adventure
57201,Western
49521,Action
49521,Adventure
49521,Fantasy
49521,Science Fiction
2454,Adventure
2454,Family
2454,Fantasy
24428,Science Fiction
24428,Action
24428,Adventure
1865,Adventure
1865,Action
1865,Fantasy
41154,Action
41154,Comedy
41154,Science Fiction
122917,Action
122917,Adventure
122917,Fantasy
1930,Action
1930,Adventure
1930,Fantasy
20662,Action
20662,Adventure
57158,Adventure
57158,Fantasy
2268,Adventure
2268,Fantasy
254,Adventure
254,Drama
254,Action
597,Drama
597,Romance
597,Thriller
271110,Adventure
271110,Action
271110,Science Fiction
44833,Thriller
44833,Action
44833,Adventure
44833,Science Fiction
135397,Action
135397,Adventure
135397,Science Fiction
135397,Thriller
37724,Action
37724,Adventure
37724,Thriller
558,Action
558,Adventure
558,Fantasy
68721,Action
68721,Adventure
68721,Science Fiction
12155,Family
12155,Fantasy
12155,Adventure
36668,Adventure
36668,Action
36668,Science Fiction
36668,Thriller
62211,Animation
62211,Family
8373,Science Fiction
8373,Action
8373,Adventure
91314,Science Fiction
91314,Action
91314,Adventure
68728,Fantasy
68728,Adventure
68728,Family
102382,Action
102382,Adventure
102382,Fantasy
20526,Adventure
20526,Action
20526,Science Fiction
49013,Animation
49013,Family
49013,Adventure
49013,Comedy
44912,Adventure
44912,Action
44912,Thriller
44912,Science Fiction
10193,Animation
10193,Family
10193,Comedy
534,Action
534,Science Fiction
534,Thriller
168259,Action
72190,Action
72190,Drama
72190,Horror
72190,Science Fiction
72190,Thriller
127585,Action
127585,Adventure
127585,Fantasy
127585,Science Fiction
54138,Action
54138,Adventure
54138,Science Fiction
81005,Action
81005,Family
81005,Fantasy
64682,Drama
64682,Romance
9543,Adventure
9543,Fantasy
9543,Action
9543,Romance
68726,Action
68726,Science Fiction
68726,Adventure
38356,Action
38356,Science Fiction
38356,Adventure
217,Adventure
217,Action
105864,Adventure
105864,Animation
105864,Family
62177,Animation
62177,Adventure
62177,Comedy
62177,Family
62177,Action
62177,Fantasy
188927,Action
188927,Adventure
188927,Science Fiction
10681,Animation
10681,Family
5174,Action
5174,Comedy
5174,Crime
5174,Thriller
14161,Action
14161,Adventure
14161,Science Fiction
17979,Animation
17979,Drama
76757,Science Fiction
76757,Fantasy
76757,Action
76757,Adventure
258489,Action
258489,Adventure
411,Adventure
411,Family
411,Fantasy
246655,Science Fiction
155,Drama
155,Action
155,Crime
155,Thriller
14160,Animation
14160,Comedy
14160,Family
14160,Adventure
15512,Animation
15512,Family
15512,Adventure
15512,Science Fiction
1726,Action
1726,Science Fiction
1726,Adventure
44826,Adventure
44826,Drama
44826,Family
8487,Action
8487,Adventure
8487,Comedy
8487,Science Fiction
8487,Western
1735,Adventure
1735,Action
1735,Fantasy
297761,Action
297761,Adventure
297761,Crime
297761,Fantasy
297761,Science Fiction
2698,Fantasy
2698,Comedy
2698,Family
137113,Action
137113,Science Fiction
9804,Adventure
9804,Action
14869,Adventure
14869,Action
14869,Thriller
14869,Science Fiction
150540,Drama
150540,Comedy
150540,Animation
150540,Family
278927,Family
278927,Adventure
278927,Drama
278927,Fantasy
10138,Adventure
10138,Action
10138,Science Fiction
58595,Adventure
58595,Fantasy
58595,Drama
102651,Fantasy
102651,Adventure
102651,Action
102651,Family
102651,Romance
119450,Science Fiction
119450,Action
119450,Drama
119450,Thriller
79698,Action
79698,Adventure
79698,Science Fiction
79698,Romance
64686,Drama
64686,Action
64686,Adventure
64686,Fantasy
100402,Action
100402,Adventure
100402,Science Fiction
10192,Comedy
10192,Adventure
10192,Fantasy
10192,Animation
10192,Family
158852,Adventure
158852,Family
158852,Mystery
158852,Science Fiction
177572,Adventure
177572,Family
177572,Animation
177572,Action
177572,Comedy
82690,Family
82690,Animation
82690,Comedy
82690,Adventure
5255,Adventure
5255,Animation
5255,Family
5255,Fantasy
47933,Action
47933,Adventure
47933,Science Fiction
10191,Fantasy
10191,Adventure
10191,Animation
10191,Family
296,Action
296,Thriller
296,Science Fiction
118340,Action
118340,Science Fiction
118340,Adventure
157336,Adventure
157336,Drama
157336,Science Fiction
27205,Action
27205,Thriller
27205,Science Fiction
27205,Mystery
27205,Adventure
315011,Action
315011,Adventure
315011,Drama
315011,Horror
315011,Science Fiction
49051,Adventure
49051,Fantasy
49051,Action
9799,Action
9799,Crime
9799,Thriller
4922,Fantasy
4922,Drama
4922,Thriller
4922,Mystery
4922,Romance
49538,Action
49538,Science Fiction
49538,Adventure
131634,Action
131634,Adventure
131634,Science Fiction
27022,Fantasy
27022,Adventure
27022,Action
27022,Comedy
27022,Drama
503,Adventure
503,Action
503,Drama
503,Thriller
241259,Fantasy
810,Fantasy
810,Adventure
810,Animation
810,Comedy
810,Family
68735,Action
68735,Adventure
68735,Fantasy
87101,Science Fiction
87101,Action
87101,Thriller
87101,Adventure
10140,Adventure
10140,Family
10140,Fantasy
676,History
676,Romance
676,War
1858,Adventure
1858,Science Fiction
1858,Action
1966,War
1966,History
1966,Action
1966,Adventure
1966,Drama
1966,Romance
675,Adventure
675,Fantasy
675,Family
675,Mystery
674,Adventure
674,Fantasy
674,Family
8960,Fantasy
8960,Action
6479,Drama
6479,Horror
6479,Action
6479,Thriller
6479,Science Fiction
118,Adventure
118,Comedy
118,Family
118,Fantasy
2062,Animation
2062,Comedy
2062,Family
2062,Fantasy
272,Action
272,Crime
272,Drama
10527,Family
10527,Animation
18360,Adventure
18360,Fantasy
18360,Action
18360,Comedy
18360,Family
2080,Adventure
2080,Action
2080,Thriller
2080,Science Fiction
605,Adventure
605,Action
605,Thriller
605,Science Fiction
109445,Animation
109445,Adventure
109445,Family
604,Adventure
604,Action
604,Thriller
604,Science Fiction
76338,Action
76338,Adventure
76338,Fantasy
76341,Action
76341,Adventure
76341,Science Fiction
76341,Thriller
13448,Thriller
13448,Mystery
10195,Adventure
10195,Fantasy
10195,Action
13053,Animation
13053,Family
13053,Adventure
13053,Comedy
19585,Fantasy
19585,Action
19585,Adventure
19585,Family
19585,Comedy
57165,Adventure
62213,Comedy
62213,Fantasy
177677,Action
177677,Adventure
177677,Thriller
7978,Drama
7978,Horror
7978,Thriller
5559,Family
5559,Animation
5559,Adventure
5559,Comedy
49444,Animation
49444,Family
10196,Action
10196,Adventure
10196,Family
10196,Fantasy
956,Adventure
956,Action
956,Thriller
117251,Action
117251,Drama
117251,Thriller
50321,Adventure
50321,Animation
50321,Family
11619,Adventure
11619,Animation
11619,Comedy
11619,Family
266647,Adventure
266647,Family
266647,Fantasy
82703,Animation
82703,Adventure
82703,Family
652,Adventure
652,Drama
652,War
80321,Animation
80321,Family
36669,Adventure
36669,Action
36669,Thriller
43074,Action
43074,Fantasy
43074,Comedy
95,Action
95,Thriller
95,Science Fiction
95,Adventure
608,Action
608,Adventure
608,Comedy
608,Science Fiction
2310,Adventure
2310,Action
2310,Animation
140300,Action
140300,Adventure
140300,Animation
140300,Comedy
140300,Family
56292,Action
56292,Thriller
56292,Adventure
81188,Fantasy
81188,Animation
81188,Family
7552,Comedy
616,Drama
616,Action
616,War
616,History
147441,Adventure
147441,Drama
147441,Action
13475,Science Fiction
13475,Action
13475,Adventure
557,Fantasy
557,Action
82702,Fantasy
82702,Action
82702,Adventure
82702,Animation
82702,Comedy
82702,Family
205584,Fantasy
10048,Action
13183,Action
13183,Mystery
13183,Science Fiction
944,Action
944,Adventure
944,Comedy
944,Crime
944,Thriller
1927,Drama
1927,Action
