movie_id,keyword
19995,culture clash
19995,future
19995,space war
19995,space colony
19995,society
19995,space travel
19995,futuristic
19995,romance
19995,space
19995,alien
19995,tribe
19995,alien planet
19995,cgi
19995,marine
19995,soldier
19995,battle
19995,love affair
19995,anti war
19995,power relations
19995,mind and soul
19995,3d
285,ocean
285,drug abuse
285,exotic island
285,east india trading company
285,love of one's life
285,traitor
285,shipwreck
285,strong woman
285,ship
285,alliance
285,calypso
285,afterlife
285,fighter
285,pirate
285,swashbuckler
285,aftercreditsstinger
206647,spy
206647,based on novel
206647,secret agent
206647,sequel
206647,mi6
206647,british secret service
206647,united kingdom
49026,dc comics
49026,crime fighter
49026,terrorist
49026,secret identity
49026,burglar
49026,hostage drama
49026,time bomb
49026,gotham city
49026,vigilante
49026,cover-up
49026,superhero
49026,villainess
49026,tragic hero
49026,terrorism
49026,destruction
49026,catwoman
49026,cat burglar
49026,imax
49026,flood
49026,criminal underworld
49026,batman
49529,based on novel
49529,mars
49529,medallion
49529,space travel
49529,princess
49529,alien
49529,steampunk
49529,martian
49529,escape
49529,edgar rice burroughs
49529,alien race
49529,superhuman strength
49529,mars civilization
49529,sword and planet
49529,19th century
49529,3d
559,dual identity
559,amnesia
559,sandstorm
559,love of one's life
559,forgiveness
559,spider
559,wretch
559,death of a friend
559,egomania
559,sand
559,narcism
559,hostility
559,marvel comic
559,sequel
559,superhero
559,revenge
38757,hostage
38757,magic
38757,horse
38757,fairy tale
38757,musical
38757,princess
38757,animation
38757,tower
38757,blonde woman
38757,selfishness
38757,healing power
38757,based on fairy tale
38757,duringcreditsstinger
38757,healing gift
38757,animal sidekick
99861,marvel comic
99861,sequel
99861,superhero
99861,based on comic book
99861,vision
99861,superhero team
99861,duringcreditsstinger
99861,marvel cinematic universe
99861,3d
767,witch
767,magic
767,broom
767,school of witchcraft
767,wizardry
767,apparition
767,teenage crush
767,werewolf
209112,dc comics
209112,vigilante
209112,superhero
209112,based on comic book
209112,revenge
209112,super powers
209112,clark kent
209112,bruce wayne
209112,dc extended universe
1452,saving the world
1452,dc comics
1452,invulnerability
1452,sequel
1452,superhero
1452,based on comic book
1452,kryptonite
1452,super powers
1452,superhuman strength
1452,lex luthor
10764,killing
10764,undercover
10764,secret agent
10764,british secret service
58,witch
58,fortune teller
58,bondage
58,exotic island
58,monster
58,captain
58,card game
58,east india trading company
58,compass
58,ship
58,daughter
58,pirate
58,swashbuckler
58,aftercreditsstinger
57201,texas
57201,horse
57201,survivor
57201,texas ranger
57201,partner
57201,outlaw
57201,escape
57201,lawyer
57201,train
57201,lone ranger
57201,comanche
57201,the lone ranger
57201,tonto
49521,saving the world
49521,dc comics
49521,superhero
49521,based on comic book
49521,superhuman
49521,alien invasion
49521,reboot
49521,super powers
49521,dc extended universe
2454,based on novel
2454,fictional place
2454,brother sister relationship
2454,lion
2454,human being
2454,wretch
2454,leap in time
2454,matter of life and death
2454,faith
2454,uncle
2454,narnia
2454,fantasy world
24428,new york
24428,shield
24428,marvel comic
24428,superhero
24428,based on comic book
24428,alien invasion
24428,superhero team
24428,aftercreditsstinger
24428,duringcreditsstinger
24428,marvel cinematic universe
1865,sea
1865,captain
1865,mutiny
1865,sword
1865,prime minister
1865,sailing
1865,silver
1865,ship
1865,duke
1865,mermaid
1865,pirate
1865,soldier
1865,battle
1865,swashbuckler
1865,aftercreditsstinger
1865,3d
41154,time travel
41154,time machine
41154,alien
41154,fictional government agency
41154,seeing the future
41154,changing history
122917,corruption
122917,elves
122917,dwarves
122917,orcs
122917,middle-earth (tolkien)
122917,hobbit
122917,dragon
122917,battle
122917,unlikely friendship
122917,epic battle
122917,sword and sorcery
1930,loss of father
1930,vigilante
1930,serum
1930,marvel comic
1930,scientific experiment
1930,spider bite
1930,masked vigilante
1930,reboot
1930,super powers
1930,genetic engineering
1930,social outcast
1930,duringcreditsstinger
20662,robin hood
20662,archer
20662,knight
20662,sherwood forest
20662,bow and arrow
20662,middle ages
20662,medieval
20662,king of england
57158,elves
57158,dwarves
57158,orcs
57158,hobbit
57158,dragon
57158,wizard
57158,sword and sorcery
2268,england
2268,compass
2268,experiment
2268,lordship
2268,uncle
2268,polar bear
2268,orphan
2268,animal
2268,based on young adult novel
254,film business
254,screenplay
254,show business
254,film making
254,film producer
254,exotic island
254,monster
254,indigenous
254,ship
254,dinosaur
597,shipwreck
597,iceberg
597,ship
597,panic
597,titanic
597,ocean liner
597,epic
597,rich woman - poor man
597,love
597,disaster
597,tragic love
597,class differences
597,imax
597,star crossed lovers
597,steerage
597,salvage
597,rich snob
597,3d
597,1910s
271110,civil war
271110,war
271110,marvel comic
271110,sequel
271110,superhero
271110,based on comic book
271110,imax
271110,aftercreditsstinger
271110,duringcreditsstinger
271110,marvel cinematic universe
271110,3d
44833,fight
44833,u.s. navy
44833,mind reading
44833,hong kong
44833,soccer
44833,scientist
44833,fictional war
44833,naval
44833,armada
44833,battleship
44833,naval combat
44833,jds myoko
44833,lost communication
44833,taser
44833,buoy
44833,communications expert
44833,joint chiefs of staff
44833,crash landing
44833,jet fighter pilot
44833,navy lieutenant
44833,permission to marry
44833,uss john paul jones
44833,based on board game
44833,aftercreditsstinger
44833,mighty mo
44833,uss missouri
135397,monster
135397,dna
135397,tyrannosaurus rex
135397,velociraptor
135397,island
135397,sequel
135397,suspense
135397,disaster
135397,escape
135397,dinosaur
135397,amusement park
135397,animal attack
135397,theme park
135397,jurassic park
135397,3d
135397,animal horror
37724,spy
37724,secret agent
37724,sociopath
37724,killer
37724,art gallery
37724,british secret service
37724,istanbul turkey
37724,imax
37724,uzi
37724,booby trap
37724,impersonating a police officer
37724,macao
558,dual identity
558,love of one's life
558,pizza boy
558,marvel comic
558,sequel
558,superhero
558,doctor
558,scientist
558,tentacle
558,death
558,super villain
68721,terrorist
68721,war on terror
68721,tennessee
68721,malibu
68721,marvel comic
68721,superhero
68721,based on comic book
68721,tony stark
68721,iron man
68721,aftercreditsstinger
68721,marvel cinematic universe
68721,mandarin
68721,3d
68721,war machine
68721,iron patriot
68721,extremis
12155,based on novel
12155,fictional place
12155,queen
12155,fantasy
12155,alice in wonderland
12155,fantasy world
12155,3d
36668,mutant
36668,marvel comic
36668,based on comic book
36668,superhuman
36668,beast
36668,cyclops
36668,aftercreditsstinger
62211,monster
62211,dormitory
62211,games
62211,animation
62211,best friend
62211,university
62211,scary
62211,aftercreditsstinger
8373,egypt
8373,sun
8373,chaos
8373,symbol
8373,artifact
8373,transformers
8373,tank
8373,robot
